# Score-readout lit-pixel series from assets/reference/skill3-video-tube.mp4, written by
#
#     python3 tools/video/score_windows.py --video --csv
#
# One row per video frame at 30 fps. lit_pixels is the count of pixels in the
# digit box (177, 208, 166, 220) whose cyan excess min(G,B)-R exceeds 45,
# after the box is placed by matching the readout's own SCORE label. lit = 1
# when lit_pixels >= 40, the floor the digits must clear before any
# reading is taken off them - the fabricated row this tool exists to prevent
# was read off a frame with 0.
# peak_luma is the brightest pixel in the same box, 0.299R+0.587G+0.114B. It is
# reported and never corrected: >= 240 means the panel is clipped and
# the digits on it may not be what the readout was showing.
frame,lit_pixels,lit,peak_luma
380,1144,1,215.6
381,1132,1,213.9
382,1114,1,213.0
383,1140,1,214.7
384,1146,1,211.5
385,1138,1,211.4
386,1124,1,212.9
387,1158,1,215.0
388,0,0,188.7
389,1098,1,213.8
390,1078,1,211.8
391,1028,1,205.0
392,1020,1,200.8
393,1048,1,207.0
394,1126,1,210.3
395,1122,1,212.1
396,1080,1,208.9
397,1094,1,211.5
398,1158,1,217.1
399,1078,1,218.3
400,942,1,211.2
401,0,0,189.7
402,1344,1,206.6
403,0,0,192.5
404,0,0,192.5
405,0,0,198.3
406,0,0,198.3
407,0,0,192.5
408,0,0,189.7
409,0,0,189.7
410,0,0,194.5
411,0,0,56.4
412,0,0,198.7
413,0,0,188.7
414,0,0,194.3
415,0,0,188.5
416,0,0,192.5
417,0,0,54.6
418,0,0,189.7
419,0,0,188.7
420,0,0,186.1
421,0,0,185.5
422,0,0,185.5
423,0,0,52.9
424,0,0,185.7
425,0,0,185.5
426,0,0,108.0
427,0,0,182.3
428,0,0,185.3
429,0,0,61.5
430,0,0,181.3
431,0,0,171.5
432,0,0,166.5
433,0,0,167.3
434,0,0,169.3
435,0,0,172.3
436,0,0,174.3
437,0,0,177.3
438,0,0,179.3
439,1196,1,212.9
440,1402,1,211.3
441,1396,1,209.3
442,1368,1,215.2
443,1414,1,212.8
444,1482,1,210.7
445,1484,1,212.2
446,1508,1,212.2
447,1518,1,211.0
448,1488,1,213.7
449,1486,1,214.9
450,1522,1,215.8
451,1494,1,215.8
452,1484,1,214.6
453,1504,1,215.8
454,1470,1,212.2
455,1472,1,212.5
456,1482,1,213.1
457,1472,1,211.9
458,1472,1,210.7
459,1472,1,211.6
460,1454,1,212.5
461,1486,1,211.6
462,1518,1,215.8
463,1506,1,213.4
464,1494,1,209.0
465,1498,1,209.9
466,1472,1,211.7
467,1466,1,209.0
468,1472,1,212.6
469,1472,1,211.7
470,1464,1,211.7
471,1506,1,210.4
472,1482,1,211.0
473,1436,1,209.9
474,1462,1,210.4
475,1462,1,209.6
476,0,0,73.1
477,1366,1,208.1
478,1342,1,208.1
479,1414,1,210.5
480,1430,1,210.4
481,1344,1,207.2
482,1252,1,207.9
483,1318,1,204.6
484,1424,1,213.7
485,1392,1,206.6
486,1378,1,208.1
487,1386,1,206.1
488,1440,1,213.1
489,1424,1,212.2
490,1108,1,211.4
491,1172,1,210.6
492,1286,1,209.6
493,1320,1,209.9
494,1356,1,206.4
495,1332,1,209.9
496,1270,1,204.3
497,1360,1,206.1
498,1314,1,206.6
499,1382,1,210.4
500,1318,1,210.0
501,1300,1,213.8
502,1350,1,203.4
503,1322,1,204.0
504,1386,1,209.0
505,1314,1,204.6
506,1264,1,201.6
507,1286,1,201.3
508,1116,1,198.5
509,0,0,64.0
510,0,0,64.0
511,1312,1,207.5
512,1040,1,198.8
513,0,0,55.3
514,0,0,54.5
515,0,0,55.3
516,0,0,56.7
517,0,0,56.7
518,0,0,50.7
519,0,0,49.1
520,0,0,55.0
521,0,0,63.9
522,0,0,64.1
523,0,0,64.6
524,0,0,63.9
525,0,0,71.6
526,0,0,75.6
527,0,0,193.3
528,0,0,72.6
529,0,0,72.6
530,0,0,72.1
531,0,0,66.6
532,0,0,191.5
533,0,0,193.5
534,0,0,194.5
535,0,0,195.1
536,0,0,198.7
537,0,0,199.7
538,0,0,199.7
539,0,0,195.5
540,0,0,196.7
541,0,0,64.1
542,0,0,64.3
543,0,0,64.9
544,0,0,64.9
545,0,0,64.9
546,0,0,64.9
547,0,0,65.3
548,0,0,64.1
549,0,0,73.3
550,0,0,73.3
551,0,0,71.3
552,0,0,70.0
553,0,0,62.1
554,0,0,64.1
555,0,0,64.1
556,0,0,64.1
557,0,0,64.1
558,0,0,64.9
559,0,0,84.9
560,0,0,111.9
561,0,0,138.3
562,0,0,177.3
563,0,0,188.5
564,0,0,191.5
565,0,0,188.5
566,0,0,188.5
567,0,0,188.5
568,0,0,188.3
569,0,0,188.5
570,0,0,188.5
571,0,0,191.5
572,0,0,189.5
573,0,0,186.3
574,0,0,186.3
575,0,0,188.5
576,0,0,187.7
577,0,0,186.7
578,0,0,186.7
579,0,0,185.7
580,0,0,195.3
581,0,0,195.3
582,0,0,187.5
583,0,0,187.5
584,0,0,198.5
585,0,0,198.5
586,0,0,196.5
587,0,0,191.3
588,0,0,194.3
589,0,0,194.3
590,0,0,196.5
591,0,0,195.7
592,0,0,191.7
593,0,0,195.7
594,0,0,191.7
595,0,0,193.7
596,0,0,193.7
597,0,0,193.7
598,1414,1,211.9
599,1482,1,214.1
600,1484,1,212.9
601,1484,1,214.3
602,1474,1,214.6
603,1468,1,214.6
604,1496,1,214.6
605,1330,1,203.2
606,0,0,215.9
607,0,0,215.9
608,0,0,211.9
609,0,0,205.9
610,1480,1,213.4
611,1490,1,213.7
612,1490,1,214.3
613,1316,1,205.2
614,0,0,195.3
615,0,0,195.3
616,0,0,195.3
617,0,0,195.3
618,1446,1,213.4
619,1444,1,214.3
620,1396,1,206.6
621,1334,1,205.1
622,0,0,189.1
623,0,0,193.1
624,0,0,192.1
625,0,0,193.1
626,1492,1,214.9
627,1502,1,212.9
628,1488,1,214.6
629,1328,1,205.5
630,0,0,184.7
631,0,0,186.1
632,0,0,184.1
633,0,0,185.5
634,1498,1,214.6
635,1510,1,214.3
636,1496,1,213.1
637,1438,1,208.1
638,0,0,195.9
639,0,0,195.9
640,0,0,197.9
641,0,0,197.9
642,1508,1,216.2
643,1508,1,216.2
644,1504,1,214.7
645,1436,1,214.7
646,0,0,196.1
647,0,0,190.9
648,0,0,192.3
649,0,0,191.9
650,1480,1,222.7
651,1478,1,219.7
652,1494,1,216.1
653,1448,1,209.9
654,0,0,194.9
655,0,0,194.9
656,0,0,194.9
657,0,0,191.9
658,1290,1,255.0
659,264,1,195.1
660,0,0,193.9
661,0,0,193.9
662,0,0,193.9
663,0,0,193.9
664,0,0,193.9
665,0,0,189.5
666,0,0,180.1
667,0,0,172.1
668,0,0,179.1
669,0,0,130.5
670,0,0,139.5
671,0,0,169.5
672,0,0,175.5
673,0,0,174.5
674,0,0,170.5
675,0,0,138.5
676,0,0,135.5
677,0,0,166.5
678,0,0,184.5
679,0,0,194.1
680,0,0,198.1
681,0,0,184.5
682,0,0,185.5
683,0,0,188.1
684,0,0,182.5
685,0,0,179.3
686,0,0,177.5
687,0,0,174.3
688,0,0,184.1
689,0,0,181.1
690,0,0,178.5
691,0,0,178.5
692,0,0,178.5
693,0,0,184.5
694,0,0,181.3
695,0,0,182.7
696,0,0,181.1
